date,pr,mm,mp,mc,weekday,hol,months,target
02/02/2019,2717,66,282,3294,Sat,Y,13,4231
03/02/2019,2262,62,240,2621,Sun,Y,13,3734
04/02/2019,1340,32,134,1610,Mon,Y,13,2310
05/02/2019,1103,29,140,1342,Tue,Y,13,1865
06/02/2019,1463,52,203,1997,Wed,Y,13,2504
07/02/2019,1278,24,167,1872,Thu,Y,13,2187
08/02/2019,1522,28,159,1990,Fri,N,13,2530
09/02/2019,1599,24,150,2220,Sat,N,13,2745
10/02/2019,1910,49,222,2948,Sun,N,13,3102
11/02/2019,1897,58,184,2718,Mon,N,13,3001
12/02/2019,1605,34,196,2299,Tue,N,13,2552
13/02/2019,1878,37,215,2426,Wed,N,13,2850
14/02/2019,1849,42,205,2340,Thu,N,13,2868
15/02/2019,1806,34,195,2318,Fri,N,13,2947
16/02/2019,1683,32,153,2206,Sat,N,13,3015
17/02/2019,2021,55,260,2864,Sun,N,13,3329
18/02/2019,1937,44,250,2990,Mon,N,13,3029
19/02/2019,1557,39,214,2493,Tue,N,13,2644
20/02/2019,1838,54,264,2840,Wed,N,13,2858
21/02/2019,1605,49,202,2426,Thu,N,13,2767
22/02/2019,1680,42,192,2515,Fri,N,13,3127
23/02/2019,1576,37,214,2350,Sat,N,13,3098
24/02/2019,1830,48,282,3057,Sun,N,13,3168
25/02/2019,1692,56,221,2781,Mon,N,13,2826
26/02/2019,1585,46,194,2391,Tue,N,13,2617
27/02/2019,1880,61,267,2771,Wed,N,13,3131
28/02/2019,2176,65,275,2755,Thu,N,13,3549
01/03/2019,1872,45,182,2466,Fri,N,14,3326
02/03/2019,1114,39,158,1831,Sat,N,14,2362
03/03/2019,1385,56,235,2502,Sun,N,14,2708
04/03/2019,1322,47,275,2669,Mon,N,14,2477
05/03/2019,1070,51,216,2323,Tue,N,14,2168
06/03/2019,1314,40,230,2448,Wed,N,14,2459
07/03/2019,1260,42,178,2098,Thu,N,14,2329
08/03/2019,1232,49,183,2189,Fri,N,14,2626
